user,Subject,text,cleaned_text,sentiment_score,sentiment_category
wheresestela1,Donald Trump," After the confrontation that cost Walter Wallace Jr. his life set off protests that devolved into rioting, looting and led to…",confrontation cost walter wallace jr life set protests devolved rioting looting led,0.0,Neutral
TheFemaleYungin,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" ",covid still raging trump still lying,0.0,Neutral
KathrynTomashu1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
ajserino,Donald Trump,Let’s not forget who created these problems. Tell Donald Trump his scheme to undermine your right to vote safely in…,lets forget created problems tell donald trump scheme undermine right vote safely,0.39285714285714285,Positive
SpeakBravely,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
TMScarletFire,Donald Trump,A vote for Donald Trump is a vote against the very ideals upon which our democracy was founded': Popovich endorses…,vote donald trump vote ideals upon democracy founded popovich endorses,0.0,Neutral
mwamsley5,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
SpeakBravely,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…",people outraged aoc slipping borrowed outfit vanity fair photo shoot,-0.10000000000000002,Neutral
XchargerFan619,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.,donald trump track become worst jobs president modern american history,-0.26666666666666666,Neutral
eachlifeinplace,Donald Trump,"It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached f… ",friday october one citizen call removal office legal means impeached f,0.2,Neutral
oldsmartian,Donald Trump,Donald Trump is a dipshit. The presidency is no place for a dipshit.,donald trump dipshit presidency place dipshit,0.0,Neutral
ChristopherOrp1,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" ",covid still raging trump still lying,0.0,Neutral
bnordsr,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",trump going try make reelection final giant con losing election keeping presidency massive l,0.0,Neutral
BlancheBullshit,Donald Trump,Download the official Donald Trump for President mobile app to get involved and share it with your friends! Togethe…,download official donald trump president mobile app get involved share friends togethe,0.0,Neutral
JoshPainter2154,Donald Trump," Abandoned by Donald Trump, lemming-like cultists wander to their doom upon the frozen wastelands of Omaha. …",abandoned donald trump lemminglike cultists wander doom upon frozen wastelands omaha,0.0,Neutral
Fot_roca,Donald Trump,Donald Trump is a dipshit. The presidency is no place for a dipshit.,donald trump dipshit presidency place dipshit,0.0,Neutral
FentonHolland,Donald Trump,‘Trump rally sounds like Hitler in Berlin! Fuck Donald Trump’✌🏻,trump rally sounds like hitler berlin fuck donald trump,-0.4,Negative
jemaan44041,Donald Trump," Donald Trump taking credit for President Obama’s economy is like a guy inheriting a fortune from his dad, then bragging a…",donald trump taking credit president obamas economy like guy inheriting fortune dad bragging,0.0,Neutral
7SinsOfTrump,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,currently unclear whether facebook giving donald trump unfair advantagebut abundantly clear facebo,-0.13333333333333333,Neutral
treesatreesa,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",friday october one citizen call removal office legal means impeached fascist,0.2,Neutral
GuaglioneTina,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",senator collins asked three times last night supports donald trumps reelection refused answer eac,0.0,Neutral
oothoon,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
Francesnamorada,Donald Trump," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…",one deserves thorough drubbing election day donald trumpwell maybe lindsey graham doesamp mitch mcc,0.0,Neutral
Raphium,Donald Trump," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…",breaking donald trump called process counting votes stealing electionhow anyone suppo,0.0,Neutral
CommonSenseMich,Donald Trump," Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp…",donald trump go beloved president evergod bless best president trump love supp,0.7333333333333334,Positive
josiemae51,Donald Trump,David Letterman calling Donald Trump a straight-up racist. In 2012...,david letterman calling donald trump straightup racist,0.0,Neutral
cynjblair,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",biden couldnt fill high school gym donald trump behind polls,-0.12000000000000001,Neutral
Dealfatigue,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,currently unclear whether facebook giving donald trump unfair advantagebut abundantly clear facebo,-0.13333333333333333,Neutral
TarotPriestess1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
thomasmuff,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…",donald trump jr arent talking deaths oh oh number almost nothing weve gott,0.0,Neutral
oldsmartian,Donald Trump,It’s 2:30 in the morning and Donald Trump is completely melting down right now,morning donald trump completely melting right,0.19285714285714284,Neutral
hezhitters,Donald Trump," PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru…",protests planned oppose stolen electionactivist groups plan hit streets next week president donald tru,0.0,Neutral
Karlita59,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…,remember donald trump voted entire family garbage administration thatll ki,0.0,Neutral
walkrunfly1,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…,currently unclear whether facebook giving donald trump unfair advantagebut abundantly clear facebo,-0.13333333333333333,Neutral
NastasiaTaz,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
DavidPercelay,Donald Trump," Donald Trump, who has financial interests in Turkey, won’t stand up to Erdogan. Ever.He even interfered in a DOJ inves…",donald trump financial interests turkey wont stand erdogan everhe even interfered doj inves,0.0,Neutral
saramelson,Donald Trump,Americans understand the dire prospects of #ClimateChange. They will not accept…,americans understand dire prospects climatechange accept,0.0,Neutral
BGMfoil,Donald Trump," ""COVID-19 is still raging. Trump is still lying."" ",covid still raging trump still lying,0.0,Neutral
Jeffrey52095461,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
Mohamme03832262,Donald Trump,The president's son delivered a whopper during a Fox News interview.,presidents son delivered whopper fox news interview,0.0,Neutral
RudyPHS16,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via,pollak shining successes president donald trumps first term via,0.25,Neutral
realdonaIdump,Donald Trump,There’s a reason Donald Trump Jr. never pushes back on his cocaine usage,theres reason donald trump jr never pushes back cocaine usage,0.0,Neutral
frogetteca,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…,greater supporter donald trump world mark zuckerberg one done elect,0.65,Positive
supapally,Donald Trump," MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in…",major breaking news update donald trump falsely declares america turned corner covid back,-0.11250000000000003,Neutral
